0,1,2,3
-0.006113891878696143,0.0,-0.5053366787430017,-0.5053366787430017
-0.0014167363249944168,-0.20297109082753345,-0.27677876021936526,-0.27677876021936526
-0.0002710618200154026,-0.20297109082753345,-0.015072110705014827,-0.015072110705014827
-0.0001233566858074228,-0.004523872752471028,-0.0070313310910231136,-0.0070313310910231136
-9.913602169948884e-05,-0.000899163131250148,-0.00396944766937809,-0.00396944766937809
-6.25707255212504e-05,-0.00027480515952820665,-0.004406029468036188,-0.004406029468036188
-4.179226303929995e-05,-0.00011244105190431,-0.004550921319002955,-0.004550921319002955
-3.7496506754187415e-05,-5.161244236066049e-05,-0.00564854612692583,-0.00564854612692583
-4.003795747630259e-05,-2.8475447417325283e-05,-0.003100373077813682,-0.003100373077813682
-4.9787679063514935e-05,-1.8793503511786974e-05,-0.002004322819231761,-0.002004322819231761
-0.00012461388189313204,-1.3732696874241105e-05,-0.001256527594887747,-0.001256527594887747
-0.00019656313270146564,-9.413981560231785e-06,-0.0009577119730774009,-0.0009577119730774009
-0.00038253126805038346,-7.749038835755522e-06,-0.0008233008010851752,-0.0008233008010851752
-0.0007976333147532099,-5.457219455227402e-06,-0.0006513834750562569,-0.0006513834750562569
-0.0007331004966079946,-4.181401665949755e-06,-0.0005038170382944002,-0.0005038170382944002
-6.669367716129249e-05,-3.680657610692959e-06,-0.0002924655487428436,-0.0002924655487428436
-5.463261488682533e-05,-2.9446058283577415e-06,-0.00024568805377767983,-0.00024568805377767983
-7.480507032955778e-05,-2.634888611344012e-06,-0.0002401645785606223,-0.0002401645785606223
